Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
62447.0,59092.0,65877.0,63194.0,68953.0,66498.0,67071.0,63825.0,59245.0,64241.0,64725.0,59404.0
62251.0,56552.0,67436.0,58778.0,64285.0,62248.0,63344.0,62187.0,56947.0,61792.0,62576.0,58695.0
59079.0,55417.0,57801.0,55821.0,56896.0,56902.0,60603.0,57478.0,54992.0,59991.0,58342.0,54351.0
55643.0,51394.0,57781.0,53613.0,56457.0,56983.0,58551.0,55616.0,56883.0,60558.0,59692.0,57566.0
57085.0,53344.0,60088.0,56433.0,60996.0,60732.0,61613.0,58094.0,57586.0,62394.0,62549.0,60876.0
58937.0,56815.0,59283.0,58705.0,63990.0,62186.0,65488.0,62677.0,61454.0,63546.0,61311.0,62681.0
59933.0,58221.0,68131.0,63181.0,68652.0,67523.0,71114.0,67513.0,65493.0,70163.0,69267.0,63653.0
66366.0,59978.0,64511.0,64341.0,68491.0,67731.0,71698.0,66565.0,66257.0,71491.0,71781.0,69281.0
69973.0,68190.0,75980.0,71701.0,73995.0,73478.0,77833.0,72962.0,72410.0,77624.0,75623.0,72189.0
73506.0,70288.0,52038.0,47114.0,55280.0,59876.0,67758.0,67912.0,68537.0,68566.0,62173.0,57816.0
